id_client,culture,hectar,parcelas,rating,score,endividamento_curto,endividamento_medio,endividamento_longo,inadimplencia,amount
1,Arroz,21,18,C,757,16956,46053,61287,1,211386
2,Arroz,48,10,D,519,8731,40264,33491,1,483168
3,Trigo,38,8,D,311,12542,8243,94851,1,210672
4,Milho,7,10,C,729,11182,43942,88096,0,75768
5,Trigo,1,12,B,412,4914,27226,68818,0,5544
6,Milho,26,10,B,813,11846,47583,57696,1,281424
7,Milho,20,6,B,786,19198,13732,61379,0,216480
8,Feijão,14,12,B,598,19734,28278,22991,0,86100
9,Trigo,1,24,D,831,15654,11464,3979,1,5544
10,Arroz,36,18,B,743,2273,37878,44595,0,362376
11,Arroz,34,18,B,820,9442,12620,19355,0,342244
12,Trigo,48,6,D,384,4422,31311,54022,0,266112
13,Soja,8,12,C,472,1635,31164,46501,1,37000
14,Milho,8,8,D,381,15676,26086,40129,0,86592
15,Milho,1,6,B,448,4653,45947,93206,0,10824
16,Trigo,34,18,A,348,330,46763,75286,1,188496
17,Milho,14,8,B,709,746,19855,23436,1,151536
18,Trigo,20,18,B,566,13346,47838,68618,1,110880
19,Milho,10,24,D,476,8094,2189,11576,0,108240
20,Trigo,2,24,B,772,12700,34274,61745,1,11088
21,Arroz,30,12,A,495,10584,31895,58316,0,301980
22,Milho,15,8,B,526,914,6587,31488,0,162360
23,Soja,22,10,A,703,3255,42308,75600,1,101750
24,Feijão,11,8,A,848,9944,8674,27217,1,67650
25,Trigo,34,10,D,348,592,15081,79308,1,188496
26,Soja,39,18,D,575,6753,9251,63624,1,180375
27,Soja,30,10,B,324,2878,7940,37129,0,138750
28,Soja,13,18,D,501,17957,6386,48041,0,60125
29,Arroz,35,6,D,779,15750,44893,67800,1,352310
30,Milho,13,12,D,833,359,25664,18498,0,140712
31,Arroz,35,6,A,470,8355,21306,16788,1,352310
32,Arroz,25,10,A,754,6339,46261,92530,1,251650
33,Feijão,33,18,D,788,498,48429,74097,0,202950
34,Milho,12,8,D,756,19745,6144,90510,1,129888
35,Trigo,5,10,B,598,3585,39519,31699,1,27720
36,Trigo,42,6,C,513,4985,29101,84023,1,232848
37,Soja,17,12,C,526,12328,25185,17920,0,78625
38,Milho,17,24,B,596,6866,32435,92683,1,184008
39,Arroz,12,8,A,808,11001,45074,96807,1,120792
40,Trigo,20,10,C,651,10567,46015,95121,1,110880
41,Arroz,14,18,B,446,221,49049,60725,0,140924
42,Arroz,49,10,C,839,39,36314,4568,0,493234
43,Feijão,28,8,D,655,17432,11218,58227,0,172200
44,Milho,33,24,B,582,17281,43608,52259,1,357192
45,Trigo,44,8,B,626,2735,25362,98200,0,243936
46,Milho,2,18,C,708,11053,21861,68464,1,21648
47,Trigo,24,6,C,711,2634,45471,27963,0,133056
48,Arroz,14,18,A,787,8963,47435,34293,1,140924
49,Feijão,21,24,D,347,2222,297,17947,1,129150
50,Arroz,4,18,A,356,14212,22573,45285,0,40264
51,Arroz,46,10,B,541,2194,13235,69730,0,463036
52,Arroz,47,18,A,325,4522,19030,34938,0,473102
53,Soja,8,18,C,469,12041,49924,38497,1,37000
54,Arroz,47,12,A,402,13976,2960,58150,1,473102
55,Milho,12,6,A,598,15729,6204,4733,0,129888
56,Milho,48,18,A,571,16824,24930,96957,0,519552
57,Soja,36,8,B,546,15710,880,18912,0,166500
58,Trigo,28,8,D,663,308,6200,18142,1,155232
59,Milho,44,18,B,699,8939,44421,7386,0,476256
60,Milho,39,18,C,421,6656,30728,93536,1,422136
61,Feijão,40,24,C,425,11424,7540,63053,0,246000
62,Feijão,45,8,A,305,5500,3550,11400,1,276750
63,Arroz,23,10,B,481,3302,24084,17511,0,231518
64,Soja,28,24,D,475,17824,36738,94766,0,129500
65,Feijão,13,18,B,399,10005,16329,50992,0,79950
66,Trigo,13,18,D,654,15527,27421,73439,1,72072
67,Feijão,10,6,C,743,9091,22797,74851,0,61500
68,Feijão,36,8,D,717,1866,29741,48733,1,221400
69,Milho,28,24,C,838,14919,42807,35800,0,303072
70,Milho,48,24,C,783,2657,27025,61102,0,519552
71,Milho,13,6,B,718,5016,48314,50781,1,140712
72,Milho,6,18,D,601,1480,18901,35477,1,64944
73,Soja,8,10,D,750,14291,15914,47388,0,37000
74,Milho,8,24,D,731,10773,42114,2709,0,86592
75,Milho,25,18,D,550,6062,36744,83800,0,270600
76,Milho,32,18,B,551,6212,22998,81829,0,346368
77,Feijão,15,24,D,432,13927,32858,58482,0,92250
78,Arroz,31,24,A,843,6073,17343,46801,0,312046
79,Soja,34,8,A,838,5024,28689,8552,1,157250
80,Trigo,16,8,A,834,16820,22893,13137,1,88704
81,Milho,44,12,B,523,4783,18075,46362,0,476256
82,Feijão,5,12,A,827,7663,14523,33904,1,30750
83,Milho,10,10,A,599,14586,49764,29786,1,108240
84,Arroz,39,12,A,685,13175,19860,67093,0,392574
85,Arroz,18,10,A,327,10091,11251,23664,0,181188
86,Milho,13,24,B,783,8416,7863,54474,1,140712
87,Feijão,20,24,C,716,1753,2882,12484,0,123000
88,Arroz,11,6,D,517,1718,28549,69810,1,110726
89,Milho,6,8,D,695,6457,38896,50534,0,64944
90,Soja,40,10,A,709,17198,46384,16705,0,185000
91,Trigo,11,6,B,603,1485,11460,4572,0,60984
92,Arroz,47,10,D,733,14395,34586,87950,1,473102
93,Trigo,21,6,B,352,19174,40481,92675,0,116424
94,Arroz,39,24,A,730,10361,45949,34999,0,392574
95,Feijão,18,24,C,599,19816,27051,16570,0,110700
96,Feijão,34,10,D,525,11879,48643,88854,0,209100
97,Soja,19,8,B,806,14610,34352,78980,0,87875
98,Arroz,50,6,C,830,464,7062,91494,0,503300
99,Milho,26,18,D,413,4534,11306,5758,0,281424
100,Trigo,33,10,B,745,4805,21773,33892,0,182952
101,Feijão,42,10,C,476,19485,2477,9569,1,258300
102,Soja,12,8,C,503,1051,27723,61510,0,55500
103,Milho,13,10,C,833,5773,3420,92843,0,140712
104,Milho,1,6,B,402,19523,22905,95435,0,10824
105,Arroz,19,10,C,838,6903,47725,12383,0,191254
106,Milho,49,24,B,821,8521,8284,39135,0,530376
107,Feijão,9,8,B,740,14901,11301,38080,1,55350
108,Arroz,35,18,A,562,4781,1719,88996,0,352310
109,Milho,25,12,C,453,12459,28424,14047,1,270600
110,Milho,7,6,C,525,10390,32166,10220,0,75768
111,Trigo,19,24,B,406,3719,10085,78070,0,105336
112,Arroz,17,12,C,762,12825,3433,86450,0,171122
113,Soja,50,10,A,349,19310,6524,39411,0,231250
114,Arroz,24,6,D,396,14913,19033,33517,0,241584
115,Trigo,23,18,B,832,18039,33243,41378,1,127512
116,Feijão,9,8,D,385,8630,34908,41105,1,55350
117,Arroz,46,18,A,673,5206,32288,62933,1,463036
118,Soja,48,8,C,436,2862,1875,44029,0,222000
119,Soja,36,24,B,467,9509,34569,9329,0,166500
120,Feijão,49,10,B,408,11614,32784,5004,0,301350
121,Arroz,43,12,C,428,7349,6552,85976,0,432838
122,Soja,31,24,B,762,9835,46861,38077,1,143375
123,Feijão,1,12,A,474,8478,4491,99039,0,6150
124,Soja,29,8,A,441,321,3691,15286,1,134125
125,Soja,14,6,A,788,9907,7081,95375,0,64750
126,Arroz,14,8,B,759,2526,34565,77260,1,140924
127,Arroz,6,24,D,806,4261,28243,61520,1,60396
128,Feijão,33,8,A,734,6802,22588,75494,1,202950
129,Arroz,31,12,A,500,12922,648,82360,0,312046
130,Feijão,18,8,B,730,10653,26225,89915,0,110700
131,Milho,33,10,B,431,10145,30332,70190,0,357192
132,Soja,32,10,A,668,15944,11150,65929,1,148000
133,Milho,31,10,D,690,13259,41351,87195,0,335544
134,Trigo,24,6,D,339,8176,31704,12886,0,133056
135,Milho,15,6,C,391,12523,23538,89360,0,162360
136,Feijão,9,18,B,300,13690,307,35019,1,55350
137,Feijão,10,8,C,777,11844,2311,6043,0,61500
138,Arroz,20,6,B,378,11639,22949,77329,1,201320
139,Trigo,37,10,C,510,5500,48067,47377,1,205128
140,Trigo,37,6,A,552,99,31564,45629,1,205128
141,Milho,29,18,B,319,3817,3029,62702,1,313896
142,Arroz,36,6,A,585,4283,26771,29078,0,362376
143,Trigo,21,12,A,548,6087,1586,65673,0,116424
144,Soja,30,12,B,633,8369,14424,15505,1,138750
145,Milho,36,18,D,685,14836,22009,66440,1,389664
146,Trigo,20,8,D,563,3064,14009,41553,1,110880
147,Milho,26,8,B,795,15389,8835,19529,1,281424
148,Feijão,36,24,B,732,16172,11297,18642,1,221400
149,Trigo,3,12,A,687,7617,22313,68825,1,16632
150,Trigo,11,8,A,786,15077,11689,8999,1,60984
151,Milho,10,10,B,440,8350,8045,51846,0,108240
152,Trigo,23,24,C,535,19883,7700,92253,1,127512
153,Soja,6,6,C,457,18615,45920,20821,1,27750
154,Soja,16,12,A,693,18210,6034,2293,0,74000
155,Arroz,25,10,D,807,6634,43904,82805,1,251650
156,Arroz,19,8,D,366,17247,47429,61637,0,191254
157,Milho,45,8,C,438,19628,39508,2254,0,487080
158,Feijão,32,8,D,846,3041,3454,16512,0,196800
159,Feijão,16,24,D,619,2419,29913,48125,1,98400
160,Arroz,10,18,D,597,13889,10523,99539,0,100660
161,Arroz,26,24,B,608,8569,36351,60238,0,261716
162,Soja,35,8,D,692,19623,9778,83009,1,161875
163,Milho,44,8,A,525,1968,2285,90158,1,476256
164,Arroz,18,12,C,373,7106,30005,4100,0,181188
165,Soja,5,6,A,496,16606,16030,21049,1,23125
166,Trigo,21,6,C,827,19898,35899,55744,0,116424
167,Trigo,32,12,C,398,15350,49406,55943,0,177408
168,Milho,45,18,D,833,6049,15668,64239,0,487080
169,Trigo,45,12,B,485,11049,17153,51934,1,249480
170,Soja,6,24,D,622,19067,31404,47658,0,27750
171,Arroz,45,12,D,643,6320,38170,69285,0,452970
172,Soja,36,12,A,362,18413,10863,83165,0,166500
173,Soja,2,8,D,390,16045,39413,28163,0,9250
174,Trigo,25,18,B,829,14242,18854,26302,0,138600
175,Soja,22,18,D,360,12479,23238,56120,0,101750
176,Feijão,45,24,A,835,16284,13143,50456,1,276750
177,Feijão,17,24,B,476,8710,33672,74494,1,104550
178,Soja,36,10,A,541,3556,43660,60709,0,166500
179,Soja,9,24,C,797,8758,47925,31762,0,41625
180,Trigo,43,18,D,462,15162,15269,86100,1,238392
181,Soja,6,12,C,661,9243,46083,29339,1,27750
182,Arroz,45,12,A,793,17997,35327,18441,1,452970
183,Soja,8,6,B,300,8637,31849,33171,1,37000
184,Trigo,9,10,D,308,11125,4418,71723,0,49896
185,Trigo,39,6,D,411,16137,11674,78515,1,216216
186,Milho,11,18,A,604,2418,43241,7396,0,119064
187,Soja,50,8,B,396,6828,45262,84138,0,231250
188,Arroz,2,6,B,313,15989,3027,76815,0,20132
189,Arroz,38,10,C,668,9606,16404,35018,0,382508
190,Arroz,46,10,D,399,12600,42772,10104,0,463036
191,Milho,30,10,B,369,4486,10739,49998,0,324720
192,Soja,49,6,C,566,9255,36200,27092,1,226625
193,Feijão,15,6,D,755,6017,38726,31821,1,92250
194,Feijão,4,12,A,450,9580,15810,83098,0,24600
195,Arroz,46,12,D,612,757,29112,50571,0,463036
196,Arroz,1,8,B,312,10972,45630,50989,0,10066
197,Milho,10,8,D,307,11489,35222,57775,0,108240
198,Trigo,14,8,B,561,301,1771,87806,0,77616
199,Milho,3,12,C,707,2916,46191,17824,1,32472
200,Feijão,5,8,B,351,10390,26994,24919,1,30750
201,Milho,35,18,A,614,3938,42132,73343,0,378840
202,Trigo,6,8,A,581,10151,39033,39492,1,33264
203,Feijão,18,18,C,616,15742,9216,68083,1,110700
204,Arroz,26,24,B,625,9184,40839,21890,1,261716
205,Trigo,9,6,A,394,1400,7605,46204,0,49896
206,Trigo,46,8,B,683,2488,48452,4412,1,255024
207,Arroz,48,10,A,422,17724,17265,26571,0,483168
208,Trigo,28,24,B,382,8116,20124,62890,0,155232
209,Feijão,14,12,D,517,6440,13199,89277,1,86100
210,Trigo,1,10,D,419,5352,36326,17234,1,5544
211,Milho,6,18,C,450,1278,41633,99219,1,64944
212,Milho,30,6,B,435,13959,38960,53477,1,324720
213,Arroz,45,18,D,711,2938,23852,39550,1,452970
214,Trigo,32,12,A,486,2355,5176,41437,0,177408
215,Trigo,48,24,C,763,4595,48399,70800,1,266112
216,Milho,32,10,A,390,16543,4466,15494,0,346368
217,Trigo,3,6,D,383,9748,23723,68387,1,16632
218,Arroz,43,24,B,837,2581,26113,66862,1,432838
219,Arroz,44,6,C,607,3160,49999,22537,1,442904
220,Arroz,44,6,C,463,15295,13416,8522,1,442904
221,Arroz,10,24,C,449,1780,12897,52009,1,100660
222,Trigo,4,6,A,468,13487,33444,65524,0,22176
223,Arroz,37,24,D,543,12143,44061,66254,0,372442
224,Milho,42,24,D,370,16829,49627,79890,0,454608
225,Arroz,8,10,B,570,12448,10920,41312,1,80528
226,Milho,16,12,B,445,3458,46853,71914,1,173184
227,Arroz,39,24,D,592,14789,5454,46697,1,392574
228,Trigo,38,18,B,647,18450,45847,42172,0,210672
229,Arroz,35,8,D,586,3786,7068,35908,0,352310
230,Milho,48,24,D,657,1479,30188,40703,1,519552
231,Trigo,49,6,A,763,2554,42241,82596,1,271656
