id_client,loan_date,loan_due_date,payment_date,income,culture,hectar,total_hectares_client,loan_amount,loan_amount_term,rating,score,total_debt,default_status,transaction_type
CLIENT_1000,2022-01-09,2023-01-04,2022-12-26,372679.03,6,18.9,288.09,28350.0,360,5,759,54510.32,0,first
CLIENT_1000,2022-06-27,2023-06-22,2023-06-15,45991.91,4,39.74,288.09,139090.0,360,5,771,139090.0,0,historic
CLIENT_1000,2023-06-28,2024-06-22,2024-06-22,24225.64,1,30.27,288.09,90810.0,360,5,772,90810.0,0,historic
CLIENT_1000,2024-01-02,2024-12-27,2024-12-22,158739.48,5,87.65,288.09,157770.0,360,5,762,194153.8,0,historic
CLIENT_1000,2024-06-27,2024-12-24,2024-12-26,123701.93,4,63.57,288.09,222495.0,180,5,766,261752.44,1,historic
CLIENT_1001,2021-06-16,2022-06-11,2022-06-14,326089.99,1,49.22,164.63,147660.0,360,3,614,259009.46,1,first
CLIENT_1001,2022-06-24,2023-06-19,2023-07-18,125493.33,3,43.74,164.63,87480.0,360,2,541,96978.09,1,historic
CLIENT_1001,2023-01-18,2024-01-13,2024-01-13,466162.59,6,17.15,164.63,25725.0,360,2,528,50197.06,0,historic
CLIENT_1001,2023-06-23,2024-06-17,2024-06-08,250661.24,3,74.99,164.63,149980.0,360,2,514,160831.04,0,historic
CLIENT_1001,2024-06-21,2024-12-18,2024-12-16,41633.33,2,59.74,164.63,149350.0,180,2,519,149350.0,0,historic
CLIENT_1001,2025-01-08,2026-01-03,2025-12-25,192818.39,5,49.29,164.63,88722.0,360,2,507,118474.87,0,historic
CLIENT_1001,2025-06-18,2025-12-15,2025-12-13,388469.49,3,9.98,164.63,19960.0,180,2,503,39023.36,0,historic
CLIENT_1001,2026-01-15,2026-07-14,2026-08-23,446055.29,5,24.68,164.63,44424.0,180,1,496,50211.5,1,historic
CLIENT_1001,2026-06-17,2027-06-12,2027-08-10,450145.33,2,58.57,164.63,146425.0,360,1,457,216399.68,1,historic
CLIENT_1001,2027-06-22,2028-06-16,2028-09-11,375787.08,2,23.13,164.63,57825.0,360,0,353,112389.27,1,historic
CLIENT_1002,2022-01-15,2023-01-10,2023-01-02,127835.6,6,80.71,276.55,121065.0,360,0,320,141416.75,0,first
CLIENT_1002,2022-06-19,2023-06-14,2023-06-14,347989.22,1,44.44,276.55,133320.0,360,0,318,205662.23,0,historic
CLIENT_1002,2023-06-19,2023-12-16,2024-03-27,37677.91,1,27.4,276.55,82200.0,180,0,345,101123.26,1,historic
CLIENT_1002,2024-01-09,2024-07-07,2024-09-21,313914.06,6,121.57,276.55,182355.0,180,0,240,290704.14,1,historic
CLIENT_1002,2024-06-20,2025-06-15,2025-08-25,156021.95,4,22.49,276.55,78715.0,360,0,200,112154.03,1,historic
CLIENT_1002,2025-01-01,2025-06-30,2025-07-20,290928.26,6,133.6,276.55,200400.0,180,0,200,322696.52,1,historic
CLIENT_1003,2021-06-04,2022-05-30,2022-06-01,225325.35,1,212.66,439.15,637980.0,360,2,524,673224.48,1,first
CLIENT_1003,2022-06-08,2022-12-05,2023-01-24,40369.32,3,176.77,439.15,353540.0,180,1,453,353540.0,1,historic
CLIENT_1003,2023-06-14,2024-06-08,2024-06-18,494576.38,1,25.01,439.15,75030.0,360,1,441,104528.94,1,historic
CLIENT_1003,2024-01-18,2025-01-12,2025-02-02,425635.64,6,67.94,439.15,101910.0,360,0,358,125682.26,1,historic
CLIENT_1003,2024-06-25,2025-06-20,2025-10-01,441522.37,2,184.82,439.15,462050.0,360,0,287,605087.88,1,historic
CLIENT_1003,2025-01-20,2025-07-19,2025-11-11,95798.31,6,131.56,439.15,197340.0,180,0,211,225537.97,1,historic
CLIENT_1003,2025-06-28,2025-12-25,2026-03-05,110470.9,4,97.2,439.15,340200.0,180,0,200,340200.0,1,historic
CLIENT_1003,2026-06-15,2027-06-10,2027-09-05,341848.51,3,36.39,439.15,72780.0,360,0,200,76063.92,1,historic
CLIENT_1003,2027-06-12,2027-12-09,2028-01-20,409800.54,4,202.83,439.15,709905.0,180,0,200,998785.02,1,historic
CLIENT_1003,2028-01-27,2029-01-21,2029-03-28,432062.25,6,78.66,439.15,117990.0,360,0,200,216629.08,1,historic
CLIENT_1004,2020-01-13,2020-07-11,2020-07-06,282032.64,6,236.4,495.6,354600.0,180,3,629,467588.2,0,first
CLIENT_1004,2020-06-07,2021-06-02,2021-05-23,113805.51,2,191.94,495.6,479850.0,360,3,641,479850.0,0,historic
CLIENT_1004,2021-06-13,2021-12-10,2021-12-09,220139.5,3,182.81,495.6,365620.0,180,3,675,374505.9,0,historic
CLIENT_1004,2022-01-03,2022-12-29,2022-12-31,494574.98,6,72.62,495.6,108930.0,360,3,685,201557.31,1,historic
CLIENT_1004,2022-06-13,2023-06-08,2023-06-04,46641.45,3,151.57,495.6,303140.0,360,3,610,303140.0,0,historic
CLIENT_1004,2023-01-26,2024-01-21,2024-01-16,400751.55,5,106.85,495.6,192330.0,360,3,632,278769.06,0,historic
CLIENT_1004,2023-06-14,2024-06-08,2024-06-11,411302.92,4,189.17,495.6,662095.0,360,3,643,764173.61,1,historic
CLIENT_1004,2024-06-11,2025-06-06,2025-05-28,379553.38,2,236.86,495.6,592150.0,360,2,575,1057240.37,0,historic
CLIENT_1004,2025-01-24,2025-07-23,2025-08-10,269036.51,6,28.43,495.6,42645.0,180,2,574,46358.55,1,historic
CLIENT_1004,2026-01-01,2026-06-30,2026-07-01,37734.58,6,73.08,495.6,109620.0,180,2,556,113195.11,1,historic
CLIENT_1004,2026-06-26,2026-12-23,2027-02-03,373650.4,3,64.97,495.6,129940.0,180,1,484,201901.93,1,historic
CLIENT_1004,2027-06-07,2027-12-04,2027-12-29,168048.1,4,144.6,495.6,506100.0,180,1,407,506100.0,1,historic
CLIENT_1004,2028-01-15,2028-07-13,2028-08-24,286617.2,6,101.97,495.6,152955.0,180,0,346,199029.96,1,historic
CLIENT_1005,2020-06-11,2020-12-08,2020-11-29,336139.25,1,111.77,993.96,335310.0,180,3,647,489246.82,0,first
CLIENT_1005,2021-01-11,2021-07-10,2021-07-11,344929.83,5,312.14,993.96,561852.0,180,3,652,841829.38,1,historic
CLIENT_1005,2022-01-02,2022-12-28,2023-01-17,37768.26,5,104.11,993.96,187398.0,360,2,581,187398.0,1,historic
CLIENT_1005,2022-06-23,2023-06-18,2023-06-18,396540.32,4,358.81,993.96,1255835.0,360,2,560,1255835.0,0,historic
CLIENT_1005,2023-01-12,2023-07-11,2023-07-11,272171.8,6,211.45,993.96,317175.0,180,2,595,488803.76,0,historic
CLIENT_1005,2023-06-22,2023-12-19,2023-12-15,102253.66,3,365.5,993.96,731000.0,180,2,576,731000.0,0,historic
CLIENT_1005,2024-01-23,2024-07-21,2024-08-11,36259.66,6,134.86,993.96,202290.0,180,2,597,202290.0,1,historic
CLIENT_1005,2024-06-17,2024-12-14,2025-01-31,269526.24,1,454.65,993.96,1363950.0,180,1,498,1363950.0,1,historic
CLIENT_1005,2025-06-20,2025-12-17,2026-04-08,71215.58,1,199.84,993.96,599520.0,180,0,395,599520.0,1,historic
CLIENT_1005,2026-01-17,2026-07-16,2026-09-21,98974.06,6,317.54,993.96,476310.0,180,0,383,476310.0,1,historic
CLIENT_1005,2027-01-08,2027-07-07,2027-08-13,420030.73,6,357.1,993.96,535650.0,180,0,349,681850.85,1,historic
CLIENT_1005,2027-06-11,2027-12-08,2028-04-02,466351.57,2,150.64,993.96,376600.0,180,0,290,399518.1,1,historic
CLIENT_1005,2028-06-24,2028-12-21,2029-03-16,156381.73,1,420.61,993.96,1261830.0,180,0,202,1261830.0,1,historic
CLIENT_1005,2029-01-12,2029-07-11,2029-10-21,405767.95,5,495.91,993.96,892638.0,180,0,200,974964.46,1,historic
CLIENT_1005,2030-01-21,2030-07-20,2030-09-09,285497.02,6,218.16,993.96,327240.0,180,0,200,348836.77,1,historic
CLIENT_1005,2031-01-20,2031-07-19,2031-10-10,111960.63,5,53.9,993.96,97020.0,180,0,200,119655.7,1,historic
CLIENT_1006,2020-06-16,2020-12-13,2020-12-09,427226.42,4,163.79,854.94,573265.0,180,3,636,998166.74,0,first
